"F, n","Dy, 0.1mm","Dx1, 0.1mm","Dx2, 0.1mm","F, n","Dy, 0.1mm","Dx1, 0.1mm","Dx2, 0.1mm"
39.3,2.0,1.2,1.1,38.8,0.1,0.8,0.8
50.5,3.7,2.2,1.7,51.0,0.1,1.3,1.6
61.7,5.1,3.2,3.2,61.3,0.1,1.8,1.9
71.3,6.8,4.3,3.8,70.8,0.1,2.4,2.5
82.5,9.4,5.7,4.0,80.2,0.1,3.1,3.0
91.4,10.8,6.7,4.7,92.2,0.2,4.0,4.0
101.3,12.7,7.7,5.5,100.4,1.1,4.7,4.5
90.3,12.0,7.3,4.7,87.4,1.1,4.7,4.5
81.0,10.2,6.5,4.0,79.0,1.1,4.7,4.4
71.3,8.7,5.7,3.3,70.5,1.0,4.7,4.4
61.0,7.3,4.8,2.6,60.3,0.0,3.9,3.6
51.1,6.3,3.9,2.2,50.2,0.0,3.0,2.6
41.5,4.7,2.7,1.6,40.1,0.0,2.2,1.9
