"U, В","I, мА","U_, В","I_, мА"
25,	73.2,   25, 63.7
24,	72.5,   24, 63.1
23,	71.8,   23, 62.5
22,	71.2,   22, 61.9
21,	70.5,   21, 61.3
20,	69.8,   20, 60.7
19,	69.1,   19, 60
18,	68.3,   18, 59.3
17,	67.4,   17, 58.5
16,	66.3,   16, 57.6
15,	65,	    15, 56.4
14,	63.5,   14, 55
13,	61.7,   13, 53.3
12,	59.6,   12, 51.2
11,	57.2,   11, 49
10,	54.2,   10, 46
9,	51.1,   9,	42.9
8,	47.2,   8,	39
7,	40.2,   7,	34
6,	37.4,   6,	29.3
5,	31.9,   5,	23.8
4,	26,     4,	17.9
3,	20,     3,	11.8
2,	13.8,   2,	5.6
1,	7.2,    1,	-0.8
