"nu, Hz","I, A","U, V","dx, div","x(pi), div"
20,4.64E-01,1.34E-01,3.5,6.5
30,4.58E-01,1.97E-01,3.3,5.8
40,4.52E-01,2.56E-01,4.2,7.2
50,4.46E-01,3.11E-01,3.1,5.7
60,4.39E-01,3.61E-01,1.7,2.8
70,4.32E-01,4.06E-01,1.8,2.9
80,4.24E-01,4.46E-01,2.0,3.1
90,4.17E-01,4.82E-01,2.0,3.0
100,4.10E-01,5.13E-01,2.1,3.2
150,3.81E-01,6.20E-01,3.9,5.4
200,3.62E-01,6.76E-01,3.9,5.0
250,3.48E-01,7.05E-01,4.1,5.0
300,3.39E-01,7.21E-01,4.3,5.0
350,3.31E-01,7.28E-01,4.5,5.1
400,3.25E-01,7.32E-01,4.4,5.0
450,3.20E-01,7.32E-01,4.6,5.0
500,3.16E-01,7.30E-01,4.5,4.8
550,3.11E-01,7.27E-01,4.1,4.4
600,3.07E-01,7.23E-01,3.8,4.0
650,3.03E-01,7.17E-01,3.6,3.9
700,2.97E-01,7.11E-01,4.4,4.6
750,2.94E-01,7.05E-01,4.2,4.3
800,2.90E-01,7.00E-01,3.9,4.0
850,2.86E-01,6.90E-01,3.7,3.8
900,2.82E-01,6.83E-01,3.5,3.6
950,2.79E-01,6.75E-01,4.7,4.6
1000,2.75E-01,6.66E-01,4.6,4.6
1500,2.38E-01,5.79E-01,4.6,4.5
2000,2.05E-01,4.97E-01,4.8,4.6
2500,1.78E-01,4.29E-01,4.0,3.6
3000,1.56E-01,3.73E-01,3.4,3.1
3500,1.38E-01,3.27E-01,3.2,2.9
4000,1.23E-01,2.89E-01,4.9,4.2
4500,1.11E-01,2.58E-01,4.4,3.7
5000,1.01E-01,2.32E-01,5.3,4.4
6000,8.85E-02,1.90E-01,5.1,4.1
7000,7.35E-02,1.59E-01,4.5,3.5
8000,6.44E-02,1.35E-01,3.8,2.9
9000,5.70E-02,1.15E-01,3.7,2.7
10000,5.10E-02,9.97E-02,5.9,4.2
12500,3.92E-02,7.14E-02,5.0,3.3
15000,3.13E-02,5.38E-02,4.4,2.8
17500,2.51E-02,4.21E-02,3.9,2.4
20000,2.02E-02,3.41E-02,6.4,3.7
25000,1.22E-02,2.40E-02,6.4,3.6
30000,5.90E-03,1.53E-02,5.8,2.9
